STATUS | wrapper  | 2020/12/07 21:02:48 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/12/07 22:28:39 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 22:28:39 | JVM exited while loading the application.
INFO   | jvm 3    | 2020/12/07 22:28:39 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 3    | 2020/12/07 22:28:39 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 3    | 2020/12/07 22:28:39 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 3    | 2020/12/07 22:28:39 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 22:28:43 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 22:28:43 | JVM exited while loading the application.
INFO   | jvm 4    | 2020/12/07 22:28:43 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 4    | 2020/12/07 22:28:43 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 4    | 2020/12/07 22:28:43 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 4    | 2020/12/07 22:28:43 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 22:28:47 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 22:28:47 | JVM exited while loading the application.
INFO   | jvm 5    | 2020/12/07 22:28:47 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 5    | 2020/12/07 22:28:47 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 5    | 2020/12/07 22:28:47 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 5    | 2020/12/07 22:28:47 | Error: A fatal exception has occurred. Program will exit.
FATAL  | wrapper  | 2020/12/07 22:28:47 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2020/12/07 22:28:47 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2020/12/07 22:28:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/12/07 23:37:37 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/12/07 23:37:37 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:37:37 | JVM exited while loading the application.
INFO   | jvm 1    | 2020/12/07 23:37:37 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2020/12/07 23:37:37 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 1    | 2020/12/07 23:37:37 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 1    | 2020/12/07 23:37:37 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:37:42 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:37:42 | JVM exited while loading the application.
INFO   | jvm 2    | 2020/12/07 23:37:42 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 2    | 2020/12/07 23:37:42 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 2    | 2020/12/07 23:37:42 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 2    | 2020/12/07 23:37:42 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:37:46 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:37:46 | JVM exited while loading the application.
INFO   | jvm 3    | 2020/12/07 23:37:46 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 3    | 2020/12/07 23:37:46 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 3    | 2020/12/07 23:37:46 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 3    | 2020/12/07 23:37:46 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:37:50 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:37:50 | JVM exited while loading the application.
INFO   | jvm 4    | 2020/12/07 23:37:50 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 4    | 2020/12/07 23:37:50 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 4    | 2020/12/07 23:37:50 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 4    | 2020/12/07 23:37:50 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:37:54 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:37:55 | JVM exited while loading the application.
INFO   | jvm 5    | 2020/12/07 23:37:55 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 5    | 2020/12/07 23:37:55 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 5    | 2020/12/07 23:37:55 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 5    | 2020/12/07 23:37:55 | Error: A fatal exception has occurred. Program will exit.
FATAL  | wrapper  | 2020/12/07 23:37:55 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2020/12/07 23:37:55 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2020/12/07 23:37:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/12/07 23:42:58 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/12/07 23:42:59 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:42:59 | JVM exited while loading the application.
INFO   | jvm 1    | 2020/12/07 23:42:59 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2020/12/07 23:42:59 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 1    | 2020/12/07 23:42:59 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 1    | 2020/12/07 23:42:59 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:43:03 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:43:03 | JVM exited while loading the application.
INFO   | jvm 2    | 2020/12/07 23:43:03 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 2    | 2020/12/07 23:43:03 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 2    | 2020/12/07 23:43:03 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 2    | 2020/12/07 23:43:03 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:43:07 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:43:07 | JVM exited while loading the application.
INFO   | jvm 3    | 2020/12/07 23:43:07 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 3    | 2020/12/07 23:43:07 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 3    | 2020/12/07 23:43:07 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 3    | 2020/12/07 23:43:07 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:43:11 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:43:11 | JVM exited while loading the application.
INFO   | jvm 4    | 2020/12/07 23:43:11 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 4    | 2020/12/07 23:43:11 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 4    | 2020/12/07 23:43:11 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 4    | 2020/12/07 23:43:11 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 23:43:16 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 23:43:16 | JVM exited while loading the application.
INFO   | jvm 5    | 2020/12/07 23:43:16 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 5    | 2020/12/07 23:43:16 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 5    | 2020/12/07 23:43:16 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 5    | 2020/12/07 23:43:16 | Error: A fatal exception has occurred. Program will exit.
FATAL  | wrapper  | 2020/12/07 23:43:16 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2020/12/07 23:43:16 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2020/12/07 23:43:16 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/12/07 23:58:38 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/12/07 23:58:38 | Launching a JVM...
INFO   | jvm 1    | 2020/12/07 23:58:39 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2020/12/07 23:58:39 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/12/07 23:58:39 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/12/07 23:58:39 | 
INFO   | jvm 1    | 2020/12/07 23:58:40 | WARNING: An illegal reflective access operation has occurred
INFO   | jvm 1    | 2020/12/07 23:58:40 | WARNING: Illegal reflective access by io.mycat.memory.unsafe.Platform (file:/Users/tanxiaoyan/Desktop/mycat/lib/Mycat-server-1.6.5-DEV.jar) to method java.nio.Bits.unaligned()
INFO   | jvm 1    | 2020/12/07 23:58:40 | WARNING: Please consider reporting this to the maintainers of io.mycat.memory.unsafe.Platform
INFO   | jvm 1    | 2020/12/07 23:58:40 | WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
INFO   | jvm 1    | 2020/12/07 23:58:40 | WARNING: All illegal access operations will be denied in a future release
INFO   | jvm 1    | 2020/12/07 23:58:40 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/12/28 19:31:28 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/12/28 19:31:28 | Launching a JVM...
INFO   | jvm 1    | 2020/12/28 19:31:29 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2020/12/28 19:31:29 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/12/28 19:31:29 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/12/28 19:31:29 | 
INFO   | jvm 1    | 2020/12/28 19:31:30 | WARNING: An illegal reflective access operation has occurred
INFO   | jvm 1    | 2020/12/28 19:31:30 | WARNING: Illegal reflective access by io.mycat.memory.unsafe.Platform (file:/Users/tanxiaoyan/Desktop/mycat/lib/Mycat-server-1.6.5-DEV.jar) to method java.nio.Bits.unaligned()
INFO   | jvm 1    | 2020/12/28 19:31:30 | WARNING: Please consider reporting this to the maintainers of io.mycat.memory.unsafe.Platform
INFO   | jvm 1    | 2020/12/28 19:31:30 | WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
INFO   | jvm 1    | 2020/12/28 19:31:30 | WARNING: All illegal access operations will be denied in a future release
INFO   | jvm 1    | 2020/12/28 19:31:30 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/12/29 09:51:18 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2020/12/29 09:51:18 | Dumping JVM state.
WARN   | wrapper  | 2020/12/29 09:51:18 | JVM process was still running after receiving a SIGCHLD signal.
INFO   | jvm 1    | 2020/12/29 09:51:18 | 2020-12-29 09:51:18
INFO   | jvm 1    | 2020/12/29 09:51:18 | Full thread dump Java HotSpot(TM) 64-Bit Server VM (15.0.1+9-18 mixed mode, sharing):
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | Threads class SMR info:
INFO   | jvm 1    | 2020/12/29 09:51:18 | _java_thread_list=0x00007fc2b58033d0, length=34, elements={
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b401b000, 0x00007fc2b3808000, 0x00007fc2b401b600, 0x00007fc2b401de00,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b381a000, 0x00007fc2b481c600, 0x00007fc2b481cc00, 0x00007fc2b401e400,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b3818800, 0x00007fc2b391ce00, 0x00007fc2b41cf400, 0x00007fc2b396ec00,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b401ea00, 0x00007fc2b41cec00, 0x00007fc2b51d8a00, 0x00007fc2b4951400,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b41e2600, 0x00007fc2b41e2c00, 0x00007fc2b3805400, 0x00007fc2b41e3200,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b493ee00, 0x00007fc2b4951a00, 0x00007fc2b4245c00, 0x00007fc2b4952000,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b51b2c00, 0x00007fc2b4245400, 0x00007fc2b51cc200, 0x00007fc2b493d800,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b51b2400, 0x00007fc2b51cb800, 0x00007fc2b3971a00, 0x00007fc2b4267a00,
INFO   | jvm 1    | 2020/12/29 09:51:18 | 0x00007fc2b3970000, 0x00007fc2b51d2000
INFO   | jvm 1    | 2020/12/29 09:51:18 | }
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Reference Handler" #2 daemon prio=10 os_prio=31 cpu=0.71ms elapsed=11316.69s tid=0x00007fc2b401b000 nid=0x3803 waiting on condition  [0x000070000e3ee000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.Reference.waitForReferencePendingList(java.base@15.0.1/Native Method)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.Reference.processPendingReferences(java.base@15.0.1/Reference.java:241)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.Reference$ReferenceHandler.run(java.base@15.0.1/Reference.java:213)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Finalizer" #3 daemon prio=8 os_prio=31 cpu=0.17ms elapsed=11316.69s tid=0x00007fc2b3808000 nid=0x3b03 in Object.wait()  [0x000070000e4f1000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: WAITING (on object monitor)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.Object.wait(java.base@15.0.1/Native Method)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	- waiting on <0x00000007000f6d78> (a java.lang.ref.ReferenceQueue$Lock)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.ReferenceQueue.remove(java.base@15.0.1/ReferenceQueue.java:155)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	- locked <0x00000007000f6d78> (a java.lang.ref.ReferenceQueue$Lock)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.ReferenceQueue.remove(java.base@15.0.1/ReferenceQueue.java:176)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.Finalizer$FinalizerThread.run(java.base@15.0.1/Finalizer.java:170)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Signal Dispatcher" #4 daemon prio=9 os_prio=31 cpu=0.77ms elapsed=11316.69s tid=0x00007fc2b401b600 nid=0xa503 waiting on condition  [0x0000000000000000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Service Thread" #5 daemon prio=9 os_prio=31 cpu=282.17ms elapsed=11316.69s tid=0x00007fc2b401de00 nid=0xa303 runnable  [0x0000000000000000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "C2 CompilerThread0" #6 daemon prio=9 os_prio=31 cpu=5326.47ms elapsed=11316.69s tid=0x00007fc2b381a000 nid=0xa003 waiting on condition  [0x0000000000000000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 |    No compile task
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "C1 CompilerThread0" #8 daemon prio=9 os_prio=31 cpu=1048.78ms elapsed=11316.68s tid=0x00007fc2b481c600 nid=0x5e03 waiting on condition  [0x0000000000000000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 |    No compile task
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Sweeper thread" #9 daemon prio=9 os_prio=31 cpu=4.20ms elapsed=11316.67s tid=0x00007fc2b481cc00 nid=0x9c03 runnable  [0x0000000000000000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Notification Thread" #10 daemon prio=9 os_prio=31 cpu=0.06ms elapsed=11316.64s tid=0x00007fc2b401e400 nid=0x6003 runnable  [0x0000000000000000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Common-Cleaner" #11 daemon prio=8 os_prio=31 cpu=11.10ms elapsed=11316.64s tid=0x00007fc2b3818800 nid=0x9503 in Object.wait()  [0x000070000ed09000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: TIMED_WAITING (on object monitor)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.Object.wait(java.base@15.0.1/Native Method)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	- waiting on <0x00000007000f7578> (a java.lang.ref.ReferenceQueue$Lock)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.ref.ReferenceQueue.remove(java.base@15.0.1/ReferenceQueue.java:155)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	- locked <0x00000007000f7578> (a java.lang.ref.ReferenceQueue$Lock)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at jdk.internal.ref.CleanerImpl.run(java.base@15.0.1/CleanerImpl.java:148)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.Thread.run(java.base@15.0.1/Thread.java:832)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at jdk.internal.misc.InnocuousThread.run(java.base@15.0.1/InnocuousThread.java:134)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Wrapper-Control-Event-Monitor" #13 daemon prio=5 os_prio=31 cpu=3661.68ms elapsed=11316.46s tid=0x00007fc2b391ce00 nid=0x6503 runnable  [0x000070000ee0c000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.tanukisoftware.wrapper.WrapperManager.controlEvent(WrapperManager.java:3249)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.tanukisoftware.wrapper.WrapperManager.access$2300(WrapperManager.java:103)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.tanukisoftware.wrapper.WrapperManager$3.run(WrapperManager.java:724)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
INFO   | jvm 1    | 2020/12/29 09:51:18 | "Log4j2-AsyncLoggerConfig-1" #16 daemon prio=5 os_prio=31 cpu=2412.47ms elapsed=11315.89s tid=0x00007fc2b41cf400 nid=0x8d03 runnable  [0x000070000f31a000]
INFO   | jvm 1    | 2020/12/29 09:51:18 |    java.lang.Thread.State: RUNNABLE
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.appender.rolling.CompositeTriggeringPolicy.isTriggeringEvent(CompositeTriggeringPolicy.java:61)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.appender.rolling.RollingFileManager.checkRollover(RollingFileManager.java:118)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	- locked <0x000000070640cbc8> (a org.apache.logging.log4j.core.appender.rolling.RollingFileManager)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.appender.RollingFileAppender.append(RollingFileAppender.java:87)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.config.AppenderControl.tryCallAppender(AppenderControl.java:152)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.config.AppenderControl.callAppender0(AppenderControl.java:125)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.config.AppenderControl.callAppenderPreventRecursion(AppenderControl.java:116)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.config.AppenderControl.callAppender(AppenderControl.java:84)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.config.LoggerConfig.callAppenders(LoggerConfig.java:390)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.async.AsyncLoggerConfig.asyncCallAppenders(AsyncLoggerConfig.java:103)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.async.AsyncLoggerConfigDisruptor$Log4jEventWrapperHandler.onEvent(AsyncLoggerConfigDisruptor.java:90)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at org.apache.logging.log4j.core.async.AsyncLoggerConfigDisruptor$Log4jEventWrapperHandler.onEvent(AsyncLoggerConfigDisruptor.java:76)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at com.lmax.disruptor.BatchEventProcessor.run(BatchEventProcessor.java:129)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(java.base@15.0.1/ThreadPoolExecutor.java:1130)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(java.base@15.0.1/ThreadPoolExecutor.java:630)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 	at java.lang.Thread.run(java.base@15.0.1/Thread.java:832)
INFO   | jvm 1    | 2020/12/29 09:51:18 | 
